codmun,pharmacy,hospital,police,school,bank,embassy,tower,commercial,industrial,government,supermarket,park,primary,secondary,unpaved,paved
3007,5,0,3,3,1,0,331,0,0,0,0,0,127,109,72,23
3025,17,0,1,1,10,0,240,0,0,0,0,0,186,107,79,25
3026,8,2,1,5,3,0,96,0,0,0,0,0,0,204,30,53
3061,31,0,1,2,38,0,116,0,0,0,0,0,216,135,1,2
3062,19,1,0,4,22,0,387,0,0,0,0,0,250,103,40,8
3001,7,1,3,4,0,0,86,0,0,0,0,0,126,83,4,3
3004,9,0,1,6,3,0,129,0,0,0,0,0,126,116,21,7
3018,6,0,1,8,0,0,189,0,0,0,0,0,94,151,78,61
3063,26,0,4,16,25,0,15,0,0,0,0,0,148,135,73,28
3206,8,0,4,9,9,0,810,0,0,0,0,0,285,367,198,61
3211,21,0,3,3,17,0,232,0,0,0,0,0,106,169,268,132
3208,30,1,5,17,11,0,261,0,1,0,0,0,170,314,69,627
3261,15,1,2,3,12,0,200,0,0,0,0,0,297,345,35,30
3262,137,10,4,56,116,5,481,0,0,0,0,0,487,185,296,543
3217,0,0,4,1,4,0,151,0,0,0,0,0,201,63,80,16
3218,6,1,2,6,6,0,504,0,0,0,0,0,47,177,23,2
3263,25,0,0,0,12,0,117,0,0,0,0,0,114,0,40,31
3212,8,1,0,1,4,0,145,0,0,0,0,0,0,230,64,21
3213,14,0,2,6,8,0,464,0,0,0,0,0,61,232,47,24
3215,25,0,2,9,9,0,605,0,0,0,0,0,207,94,74,92
3216,7,0,2,11,7,0,316,0,1,0,0,0,0,162,34,20
3214,24,2,2,6,17,0,882,0,0,0,0,0,161,413,161,60
3209,8,0,2,9,1,0,1058,0,0,0,0,0,179,264,140,64
3201,8,2,3,7,4,0,408,0,0,0,0,0,61,198,16,23
3202,16,1,4,23,20,0,196,0,0,0,0,0,23,98,43,428
3204,12,0,2,4,6,0,601,0,0,0,0,0,131,224,247,25
3203,5,2,2,2,4,0,272,0,0,0,0,0,166,122,54,20
3205,18,1,3,8,7,0,283,0,0,0,0,0,50,443,92,87
3207,18,0,4,9,14,0,435,0,0,0,0,0,80,471,113,24
3210,11,3,2,10,10,0,371,0,0,0,0,0,121,204,105,163
